threshold,precision,recall,f1
0.01,0.0,0.0,0.0
0.02,0.0,0.0,0.0
0.03,0.05063291139240506,0.00215633423180593,0.004136504653567736
0.04,0.036101083032490974,0.0026954177897574125,0.0050163029847002764
0.05,0.043859649122807015,0.005390835579514825,0.00960153624579933
0.1,0.13138686131386862,0.06307277628032346,0.08523037698051357
0.15,0.19245028648466464,0.15390835579514825,0.17103489591133741
0.2,0.2352630187681734,0.2398921832884097,0.23755505138128918
0.25,0.26937090114160794,0.298921832884097,0.2833780503385716
0.3,0.3174447174447175,0.34824797843665767,0.332133676092545
0.35,0.3541220556745182,0.35660377358490564,0.3553585817888799
0.4,0.3883096366508689,0.331266846361186,0.3575272727272727
0.45,0.4201858108108108,0.26819407008086255,0.3274103323461665
0.5,0.4663951120162933,0.18517520215633423,0.26509743391858
0.55,0.4888888888888889,0.01778975741239892,0.034330299089726915
0.6,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.9,0.0,0.0,0.0
