threshold,precision,recall,f1
0.01,0.9008396641343462,0.607277628032345,0.7254870391241345
0.02,0.9033816425120773,0.6048517520215634,0.7245721666128513
0.03,0.9045307443365695,0.6026954177897574,0.7233904885150437
0.04,0.9047811993517018,0.6018867924528302,0.722887665911298
0.05,0.9055150040551501,0.6018867924528302,0.7231217616580311
0.1,0.9063899063899064,0.6002695417789757,0.7222312307442841
0.15,0.9073469387755102,0.5991913746630728,0.7217532467532468
0.2,0.9098730028676771,0.5986522911051213,0.7221589985368232
0.25,0.9096138044371405,0.5967654986522911,0.7207031249999999
0.3,0.9094277480444627,0.5954177897574124,0.7196611826030299
0.35,0.9089785831960461,0.5948787061994609,0.7191267513848159
0.4,0.9096161782913743,0.5940700808625337,0.7187347138431436
0.45,0.9098428453267163,0.5929919137466307,0.7180156657963447
0.5,0.9099173553719008,0.5935309973045823,0.7184339314845025
0.55,0.9105219552609777,0.5924528301886792,0.7178314826910516
0.6,0.9108253836582331,0.5919137466307277,0.7175298153896422
0.65,0.9108623548922057,0.5921832884097035,0.7177393008820645
0.7,0.9123754152823921,0.5921832884097035,0.7182085648904871
0.75,0.9126819126819127,0.5916442048517521,0.7179067865903517
0.8,0.9132610508757297,0.5902964959568733,0.7170923379174853
0.85,0.9136780650542119,0.590566037735849,0.7174197773411919
0.9,0.9155518394648829,0.5902964959568733,0.7177974434611603
