threshold,precision,recall,f1,pixel_precision,pixel_recall
0.05,0.0462046204620462,0.003779697624190065,0.006987771400049912,0.018365069800626528,0.9990939323840714
0.1,0.20934825543120475,0.08585313174946005,0.12176909821941413,0.027695332757620907,0.9883071721072906
0.15,0.3206974981046247,0.22840172786177107,0.2667928098391675,0.03994794828948849,0.9648253415469966
0.2,0.4163077806488659,0.39146868250539957,0.40350633087519133,0.05673384818233189,0.922397080336308
0.25,0.5023696682464455,0.5437365010799136,0.522235187346039,0.07894155157249702,0.8604959581285401
0.3,0.6002361275088548,0.6862850971922246,0.6403829197631944,0.10793935613202588,0.7795016121929367
0.35,0.6970312103527023,0.7416306695464363,0.7186396337475474,0.14406405513954196,0.6805124596951766
0.4,0.8001841620626151,0.7038336933045356,0.7489227233553577,0.1887993883813112,0.5550094403134286
0.45,0.8916357643180882,0.5842332613390929,0.7059207307127712,0.24277928156372014,0.4022484649999747
0.5,0.9598420013166556,0.3936285097192225,0.5582998276852383,0.3068997647121914,0.2317457746371933
0.6,0.0,0.0,0.0,0.44596988485385297,0.005097263068380265
0.7,0.0,0.0,0.0,0.0,0.0
