threshold,precision,recall,f1
0.01,0.8619926199261992,0.6296495956873316,0.7277258566978193
0.02,0.8637037037037038,0.6285714285714286,0.7276131045241808
0.03,0.864362690449647,0.6269541778975741,0.7267614435244493
0.04,0.8656716417910447,0.6253369272237197,0.7261345852895147
0.05,0.866641763167725,0.6253369272237197,0.7264756536715202
0.1,0.8693693693693694,0.6242587601078167,0.7267022278004394
0.15,0.8703494926719278,0.6242587601078167,0.727044420028253
0.2,0.8715146948003014,0.6234501347708895,0.7269013199245757
0.25,0.8724046810117025,0.622911051212938,0.7268438433715992
0.3,0.8720271800679502,0.6226415094339622,0.7265293285107721
0.35,0.8734848484848485,0.6215633423180593,0.7262992125984253
0.4,0.8732447817836813,0.6202156334231806,0.7252955082742316
0.45,0.8732447817836813,0.6202156334231806,0.7252955082742316
0.5,0.8725751236211488,0.6183288409703505,0.723773465846348
0.55,0.8721947508558388,0.6180592991913747,0.7234579586685597
0.6,0.8734756097560976,0.6177897574123989,0.7237132933375434
0.65,0.8730945121951219,0.6175202156334232,0.7233975371013577
0.7,0.8735676088617265,0.6164420485175203,0.722819216182048
0.75,0.8737566947207345,0.615633423180593,0.7223276407337127
0.8,0.8742813338443848,0.6148247978436657,0.7219496755815794
0.85,0.8738496932515337,0.6142857142857143,0.7214308325419436
0.9,0.8756735950731331,0.6132075471698113,0.7213062777425491
