threshold,precision,recall,f1
0.05,0.025,0.0008086253369272237,0.001566579634464752
0.1,0.04519774011299435,0.01078167115902965,0.017410228509249184
0.15,0.09660297239915075,0.04905660377358491,0.0650697175545227
0.2,0.1760644418872267,0.12371967654986522,0.14532214658857054
0.25,0.24589646464646464,0.20997304582210244,0.22651933701657462
0.3,0.30996087872404454,0.2776280323450135,0.2929048770083891
0.35,0.36086008102212525,0.31212938005390833,0.33473045237751115
0.4,0.3953316042978881,0.2876010781671159,0.3329692619753472
0.45,0.44036697247706424,0.21994609164420484,0.29336688836958474
0.5,0.4769874476987448,0.061455525606469004,0.10888252148997134
0.6,0.0,0.0,0.0
0.7,0.0,0.0,0.0
