patch_idx,tp,detected,truth,tp_small,truth_small,unmatched,recall,recall_small,precision,new_crater_pct
489694,4,11,19,4,19,7,0.21052631578947367,0.21052631578947367,0.36363636363636365,0.2692307692307692
489764,0,11,18,0,17,11,0.0,0.0,0.0,0.3793103448275862
489772,1,11,20,0,19,10,0.05,0.0,0.09090909090909091,0.3333333333333333
489779,0,6,5,0,4,6,0.0,0.0,0.0,0.5454545454545454
490575,0,5,3,0,3,5,0.0,0.0,0.0,0.625
490591,0,10,9,0,9,10,0.0,0.0,0.0,0.5263157894736842
490600,0,5,5,0,5,5,0.0,0.0,0.0,0.5
490616,0,7,3,0,3,7,0.0,0.0,0.0,0.7
490951,1,18,21,1,21,17,0.047619047619047616,0.047619047619047616,0.05555555555555555,0.4473684210526316
491058,4,28,29,4,29,24,0.13793103448275862,0.13793103448275862,0.14285714285714285,0.4528301886792453
491082,1,10,14,1,13,9,0.07142857142857142,0.07692307692307693,0.1,0.391304347826087
491084,1,12,14,1,12,11,0.07142857142857142,0.08333333333333333,0.08333333333333333,0.44
491093,0,11,6,0,5,11,0.0,0.0,0.0,0.6470588235294118
491131,0,14,15,0,15,14,0.0,0.0,0.0,0.4827586206896552
491205,8,47,36,7,33,39,0.2222222222222222,0.21212121212121213,0.1702127659574468,0.52
491301,7,41,52,7,51,34,0.1346153846153846,0.13725490196078433,0.17073170731707318,0.3953488372093023
491320,5,26,55,5,53,21,0.09090909090909091,0.09433962264150944,0.19230769230769232,0.27631578947368424
491335,6,27,49,5,46,21,0.12244897959183673,0.10869565217391304,0.2222222222222222,0.3
491340,4,29,42,3,38,25,0.09523809523809523,0.07894736842105263,0.13793103448275862,0.373134328358209
491410,1,13,18,1,18,12,0.05555555555555555,0.05555555555555555,0.07692307692307693,0.4
491462,1,11,7,1,7,10,0.14285714285714285,0.14285714285714285,0.09090909090909091,0.5882352941176471
491475,0,8,2,0,2,8,0.0,0.0,0.0,0.8
491479,0,8,4,0,4,8,0.0,0.0,0.0,0.6666666666666666
491570,1,7,3,1,3,6,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.6666666666666666
492565,0,19,6,0,5,19,0.0,0.0,0.0,0.76
492624,3,23,23,3,23,20,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.46511627906976744
492637,6,18,41,6,38,12,0.14634146341463414,0.15789473684210525,0.3333333333333333,0.22641509433962265
492762,6,30,44,6,44,24,0.13636363636363635,0.13636363636363635,0.2,0.35294117647058826
492765,7,25,51,7,50,18,0.13725490196078433,0.14,0.28,0.2608695652173913
492794,8,34,50,6,45,26,0.16,0.13333333333333333,0.23529411764705882,0.34210526315789475
492796,7,34,55,7,49,27,0.12727272727272726,0.14285714285714285,0.20588235294117646,0.32926829268292684
492903,6,34,49,5,43,28,0.12244897959183673,0.11627906976744186,0.17647058823529413,0.36363636363636365
492962,4,38,55,4,52,34,0.07272727272727272,0.07692307692307693,0.10526315789473684,0.38202247191011235
492993,6,32,52,6,50,26,0.11538461538461539,0.12,0.1875,0.3333333333333333
493035,0,10,19,0,19,10,0.0,0.0,0.0,0.3448275862068966
493068,0,14,35,0,35,14,0.0,0.0,0.0,0.2857142857142857
493084,0,2,4,0,4,2,0.0,0.0,0.0,0.3333333333333333
493105,0,6,12,0,11,6,0.0,0.0,0.0,0.3333333333333333
493155,1,17,24,1,24,16,0.041666666666666664,0.041666666666666664,0.058823529411764705,0.4
493243,0,6,11,0,11,6,0.0,0.0,0.0,0.35294117647058826
493266,0,6,6,0,5,6,0.0,0.0,0.0,0.5
493413,2,34,46,2,44,32,0.043478260869565216,0.045454545454545456,0.058823529411764705,0.41025641025641024
493426,4,29,57,2,48,25,0.07017543859649122,0.041666666666666664,0.13793103448275862,0.3048780487804878
493496,16,47,64,12,57,31,0.25,0.21052631578947367,0.3404255319148936,0.3263157894736842
493497,13,39,84,12,78,26,0.15476190476190477,0.15384615384615385,0.3333333333333333,0.23636363636363636
493543,8,38,71,8,71,30,0.11267605633802817,0.11267605633802817,0.21052631578947367,0.297029702970297
493587,0,5,11,0,9,5,0.0,0.0,0.0,0.3125
493725,2,23,44,2,41,21,0.045454545454545456,0.04878048780487805,0.08695652173913043,0.3230769230769231
493757,4,27,38,3,35,23,0.10526315789473684,0.08571428571428572,0.14814814814814814,0.3770491803278688
493774,1,14,32,1,29,13,0.03125,0.034482758620689655,0.07142857142857142,0.28888888888888886
493807,1,18,21,1,21,17,0.047619047619047616,0.047619047619047616,0.05555555555555555,0.4473684210526316
493842,1,25,24,1,23,24,0.041666666666666664,0.043478260869565216,0.04,0.5
494812,2,17,22,2,21,15,0.09090909090909091,0.09523809523809523,0.11764705882352941,0.40540540540540543
494821,0,11,3,0,3,11,0.0,0.0,0.0,0.7857142857142857
494847,7,37,43,7,39,30,0.16279069767441862,0.1794871794871795,0.1891891891891892,0.410958904109589
494855,4,35,42,2,40,31,0.09523809523809523,0.05,0.11428571428571428,0.4246575342465753
494865,5,39,28,5,28,34,0.17857142857142858,0.17857142857142858,0.1282051282051282,0.5483870967741935
494982,5,35,45,4,44,30,0.1111111111111111,0.09090909090909091,0.14285714285714285,0.4
495135,7,24,43,7,42,17,0.16279069767441862,0.16666666666666666,0.2916666666666667,0.2833333333333333
495281,8,39,56,6,50,31,0.14285714285714285,0.12,0.20512820512820512,0.3563218390804598
495424,2,7,36,2,35,5,0.05555555555555555,0.05714285714285714,0.2857142857142857,0.12195121951219512
495480,1,18,5,1,5,17,0.2,0.2,0.05555555555555555,0.7727272727272727
495512,0,19,22,0,22,19,0.0,0.0,0.0,0.4634146341463415
495595,1,5,10,1,10,4,0.1,0.1,0.2,0.2857142857142857
495604,0,19,12,0,12,19,0.0,0.0,0.0,0.6129032258064516
495606,1,16,29,1,29,15,0.034482758620689655,0.034482758620689655,0.0625,0.3409090909090909
495693,5,44,57,5,56,39,0.08771929824561403,0.08928571428571429,0.11363636363636363,0.40625
495924,6,28,35,6,34,22,0.17142857142857143,0.17647058823529413,0.21428571428571427,0.38596491228070173
496146,7,30,51,7,49,23,0.13725490196078433,0.14285714285714285,0.23333333333333334,0.3108108108108108
496167,4,20,42,4,41,16,0.09523809523809523,0.0975609756097561,0.2,0.27586206896551724
496177,1,19,33,1,32,18,0.030303030303030304,0.03125,0.05263157894736842,0.35294117647058826
496178,4,28,46,4,45,24,0.08695652173913043,0.08888888888888889,0.14285714285714285,0.34285714285714286
496390,2,17,31,2,29,15,0.06451612903225806,0.06896551724137931,0.11764705882352941,0.32608695652173914
496404,1,18,22,0,19,17,0.045454545454545456,0.0,0.05555555555555555,0.4358974358974359
496472,1,16,15,1,14,15,0.06666666666666667,0.07142857142857142,0.0625,0.5
496566,0,5,3,0,3,5,0.0,0.0,0.0,0.625
497418,0,8,4,0,4,8,0.0,0.0,0.0,0.6666666666666666
497534,0,14,18,0,17,14,0.0,0.0,0.0,0.4375
497642,3,17,23,3,21,14,0.13043478260869565,0.14285714285714285,0.17647058823529413,0.3783783783783784
497652,1,18,27,1,24,17,0.037037037037037035,0.041666666666666664,0.05555555555555555,0.38636363636363635
497665,3,26,39,3,36,23,0.07692307692307693,0.08333333333333333,0.11538461538461539,0.3709677419354839
497795,2,21,30,2,28,19,0.06666666666666667,0.07142857142857142,0.09523809523809523,0.3877551020408163
497827,2,21,23,1,22,19,0.08695652173913043,0.045454545454545456,0.09523809523809523,0.4523809523809524
497868,4,34,41,4,41,30,0.0975609756097561,0.0975609756097561,0.11764705882352941,0.4225352112676056
498068,0,16,20,0,19,16,0.0,0.0,0.0,0.4444444444444444
498091,0,14,14,0,14,14,0.0,0.0,0.0,0.5
498122,0,13,12,0,12,13,0.0,0.0,0.0,0.52
498261,1,22,12,1,12,21,0.08333333333333333,0.08333333333333333,0.045454545454545456,0.6363636363636364
498270,5,36,37,5,37,31,0.13513513513513514,0.13513513513513514,0.1388888888888889,0.45588235294117646
498297,10,42,52,10,52,32,0.19230769230769232,0.19230769230769232,0.23809523809523808,0.38095238095238093
498303,6,45,46,6,46,39,0.13043478260869565,0.13043478260869565,0.13333333333333333,0.4588235294117647
498389,5,28,56,5,56,23,0.08928571428571429,0.08928571428571429,0.17857142857142858,0.2911392405063291
498395,3,34,49,3,49,31,0.061224489795918366,0.061224489795918366,0.08823529411764706,0.3875
498412,2,20,32,2,32,18,0.0625,0.0625,0.1,0.36
498496,0,16,15,0,15,16,0.0,0.0,0.0,0.5161290322580645
498512,0,9,21,0,20,9,0.0,0.0,0.0,0.3
498623,5,31,38,4,37,26,0.13157894736842105,0.10810810810810811,0.16129032258064516,0.40625
498676,2,14,25,2,25,12,0.08,0.08,0.14285714285714285,0.32432432432432434
498788,1,13,17,1,17,12,0.058823529411764705,0.058823529411764705,0.07692307692307693,0.41379310344827586
498881,0,3,2,0,2,3,0.0,0.0,0.0,0.6
498886,0,4,2,0,2,4,0.0,0.0,0.0,0.6666666666666666
498900,0,5,1,0,1,5,0.0,0.0,0.0,0.8333333333333334
499467,1,4,6,1,6,3,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333
499469,0,2,5,0,5,2,0.0,0.0,0.0,0.2857142857142857
499498,0,15,13,0,13,15,0.0,0.0,0.0,0.5357142857142857
499510,0,12,8,0,8,12,0.0,0.0,0.0,0.6
499518,0,11,12,0,12,11,0.0,0.0,0.0,0.4782608695652174
