model,channel,ppd,best_threshold,precision,recall,f1,pixel_dice,pixel_iou,tp,detected,truth,recall_1-2 km,precision_1-2 km,recall_2-5 km,precision_2-5 km,recall_5-10 km,precision_5-10 km
baseline,both,,0.4,0.5675216097491852,0.47353859250851305,0.5162878836708649,0.29316025931161954,0.17175617155093073,20025,35285,42288,0.4785277947464875,0.5368153914743304,0.47177557304139583,0.7109935131444179,0.28369704749679076,0.7723880597014925
baseline,dem,,0.4,0.5749198455800563,0.4155552402572834,0.4824168885716639,0.2428161236038347,0.13818481199692653,17573,30566,42288,0.4149358582773366,0.5457545271629779,0.4333447371422055,0.6999635435654393,0.24133504492939667,0.7434782608695653
baseline,wac,,0.4,0.5564973321476212,0.47353859250851305,0.5116772281275552,0.29208953930721004,0.17102157638212956,20025,35984,42288,0.4790470372632865,0.5279477902140466,0.4733721062834987,0.6844487552537989,0.24390243902439024,0.7911111111111111
deep_U_net,both,,0.4,0.5749741171057172,0.4727818766553159,0.5188943680249157,0.2931956810769642,0.1717804893193413,19993,34772,42288,0.4759621258399511,0.5434767425618103,0.47040711597673623,0.7188204683434518,0.36585365853658536,0.77088948787062
deep_U_net,dem,,0.35,0.49779138776726917,0.43437854710556184,0.46392807081791665,0.21637885430561216,0.12131435805633092,18369,36901,42288,0.44086744043982895,0.45915574588659563,0.41612498574523893,0.6998175182481752,0.36713735558408217,0.7527472527472527
deep_U_net,wac,,0.4,0.5468341735068225,0.4899498675747257,0.5168315102834977,0.289793878494288,0.16944967910601652,20719,37889,42288,0.4949297495418448,0.5165711358032598,0.4876268673737028,0.6849228832231665,0.306803594351733,0.7679738562091504
dilated_U_net,both,,0.01,0.8846945778997941,0.6096292092319334,0.7218457747661983,0.2977886123645994,0.17494220431592086,25780,29140,42288,0.6122174709835064,0.8694947080914988,0.618086440871251,0.9461866765633699,0.4056482670089859,0.9623824451410659
dilated_U_net,dem,,0.9,0.808358939172459,0.6407727960650775,0.7148755424817634,0.2501873498085558,0.14297950685245256,27097,33521,42288,0.6536346976175932,0.7837356405409336,0.6160337552742616,0.9185029730675062,0.37869062901155326,0.9694915254237289
dilated_U_net,wac,,0.01,0.8751875085231147,0.6070516458569807,0.7168667969840826,0.3017762786264915,0.1777011325589172,25671,29332,42288,0.6197923029932804,0.8612099644128114,0.5799977192382255,0.9390894175553732,0.3761232349165597,0.9655172413793104
