epoch,loss,val_loss
0,0.015300172381103039,0.010014691390097141
1,0.013081255368888378,0.00936473160982132
2,0.012685034424066544,0.00919379573315382
3,0.012508236803114414,0.009079566225409508
4,0.012403850443661213,0.008953885175287724
5,0.012340206652879715,0.008905259892344475
6,0.012294940650463104,0.00884918961673975
7,0.012253904715180397,0.008989956229925156
8,0.012223593890666962,0.008836895227432251
9,0.012198462150990963,0.008925753645598888
10,0.01217602752149105,0.00871913880109787
11,0.012150509282946587,0.008691702969372272
12,0.012127813883125782,0.008821376599371433
13,0.012112108990550041,0.0088124955072999
14,0.012097637169063091,0.00870641227811575
