epoch,loss,val_loss
0,0.01439915131777525,0.00923862773925066
1,0.012170417234301567,0.008554816246032715
2,0.011756780557334423,0.008343411609530449
3,0.011548387818038464,0.008219114504754543
4,0.011412850581109524,0.008144927211105824
5,0.01132593397051096,0.008067036047577858
6,0.01126184407621622,0.008211479522287846
7,0.011208854615688324,0.007970619015395641
8,0.011170181445777416,0.008111544884741306
9,0.01113789714872837,0.00795270036906004
10,0.01111246831715107,0.00794537179172039
11,0.01108650490641594,0.00800685677677393
12,0.011063964106142521,0.007899350486695766
13,0.01104704849421978,0.007940463721752167
14,0.011030513793230057,0.008095805533230305
