epoch,loss,val_loss
0,0.014963831752538681,0.009938850998878479
1,0.012536323629319668,0.00913915317505598
2,0.012097197584807873,0.00877454224973917
3,0.011873302049934864,0.008559610694646835
4,0.011731751263141632,0.0084657222032547
5,0.011638589203357697,0.008462391793727875
6,0.011572963558137417,0.008627223782241344
7,0.011516698636114597,0.008302848786115646
8,0.011482910253107548,0.008379043079912663
9,0.011443624272942543,0.00840048398822546
10,0.011418634094297886,0.008222709409892559
11,0.011393501423299313,0.00844329409301281
12,0.011371114291250706,0.008200772106647491
13,0.011351732537150383,0.008257248438894749
14,0.011335615999996662,0.008573459461331367
