epoch,loss,val_loss
0,0.014951588585972786,0.009942758828401566
1,0.012518487870693207,0.009050294756889343
2,0.012086179107427597,0.008774396032094955
3,0.01186664029955864,0.008573247119784355
4,0.011728258803486824,0.008469035848975182
5,0.011637615039944649,0.008438506163656712
6,0.011570715345442295,0.008689052425324917
7,0.011516585014760494,0.008309799246490002
8,0.011482843197882175,0.008349372074007988
9,0.01144392229616642,0.008358586579561234
10,0.011419505812227726,0.00822516530752182
11,0.011396601796150208,0.008431471884250641
12,0.011372900567948818,0.008205575868487358
13,0.011354202404618263,0.008224887773394585
14,0.011337937787175179,0.0085725337266922
