run,epoch,loss,val_loss,dice_coef,soft_recall,val_dice_coef,val_soft_recall
DeepMoon-paper_both_112f_s42_10pct,0,0.0153483804315328,0.0094927996397018,,,,
DeepMoon-paper_both_112f_s42_10pct,1,0.0122074782848358,0.008573792874813,,,,
DeepMoon-paper_both_112f_s42_10pct,2,0.0117562767118215,0.0083809038624167,,,,
DeepMoon-paper_both_112f_s42_10pct,3,0.0115822795778512,0.0082853427156806,,,,
DeepMoon-paper_both_112f_s42_10pct,4,0.0114729851484298,0.0082118352875113,,,,
DeepMoon-paper_both_112f_s42_10pct,5,0.0114068482071161,0.0081468801945447,,,,
DeepMoon-paper_both_112f_s42_10pct,6,0.0113597121089696,0.0083509404212236,,,,
DeepMoon-paper_both_112f_s42_10pct,7,0.0113180465996265,0.008102411404252,,,,
DeepMoon-paper_both_112f_s42_10pct,8,0.0112899392843246,0.0081579396501183,,,,
DeepMoon-paper_both_112f_s42_10pct,9,0.0112651269882917,0.0081580718979239,,,,
DeepMoon-paper_both_112f_s42_10pct,10,0.0112446174025535,0.0080536669120192,,,,
DeepMoon-paper_both_112f_s42_10pct,11,0.0112278275191783,0.0081418780609965,,,,
DeepMoon-paper_both_112f_s42_10pct,12,0.0112101240083575,0.0080184331163764,,,,
DeepMoon-paper_both_112f_s42_10pct,13,0.0111963506788015,0.0080524813383817,,,,
DeepMoon-paper_both_112f_s42_10pct,14,0.0111847147345542,0.0082028210163116,,,,
U-Net-v1_both_32f_s42_10pct,0,0.0144052300602197,0.0092482352629303,,,,
U-Net-v1_both_32f_s42_10pct,1,0.012173687107861,0.0085549112409353,,,,
U-Net-v1_both_32f_s42_10pct,2,0.011758828535676,0.0083446996286511,,,,
U-Net-v1_both_32f_s42_10pct,3,0.0115504059940576,0.0081877708435058,,,,
U-Net-v1_both_32f_s42_10pct,4,0.0114150708541274,0.0081527912989258,,,,
U-Net-v1_both_32f_s42_10pct,5,0.0113285211846232,0.0080519430339336,,,,
U-Net-v1_both_32f_s42_10pct,6,0.0112634589895606,0.008207413367927,,,,
U-Net-v1_both_32f_s42_10pct,7,0.0112100951373577,0.0079867914319038,,,,
U-Net-v1_both_32f_s42_10pct,8,0.0111710978671908,0.008151059038937,,,,
U-Net-v1_both_32f_s42_10pct,9,0.0111389383673667,0.007964470423758,,,,
U-Net-v1_both_32f_s42_10pct,10,0.0111125763505697,0.0079328911378979,,,,
U-Net-v1_both_32f_s42_10pct,11,0.0110863903537392,0.008028925396502,,,,
U-Net-v1_both_32f_s42_10pct,12,0.011065193451941,0.0079023614525794,,,,
U-Net-v1_both_32f_s42_10pct,13,0.011047682724893,0.0079418830573558,,,,
U-Net-v1_both_32f_s42_10pct,14,0.011030581779778,0.008110299706459,,,,
U-Net-v1_dem_32f_s42_10pct,0,0.015300172381103,0.0100146913900971,,,,
U-Net-v1_dem_32f_s42_10pct,1,0.0130812553688883,0.0093647316098213,,,,
U-Net-v1_dem_32f_s42_10pct,2,0.0126850344240665,0.0091937957331538,,,,
U-Net-v1_dem_32f_s42_10pct,3,0.0125082368031144,0.0090795662254095,,,,
U-Net-v1_dem_32f_s42_10pct,4,0.0124038504436612,0.0089538851752877,,,,
U-Net-v1_dem_32f_s42_10pct,5,0.0123402066528797,0.0089052598923444,,,,
U-Net-v1_dem_32f_s42_10pct,6,0.0122949406504631,0.0088491896167397,,,,
U-Net-v1_dem_32f_s42_10pct,7,0.0122539047151803,0.0089899562299251,,,,
U-Net-v1_dem_32f_s42_10pct,8,0.0122235938906669,0.0088368952274322,,,,
U-Net-v1_dem_32f_s42_10pct,9,0.0121984621509909,0.0089257536455988,,,,
U-Net-v1_dem_32f_s42_10pct,10,0.012176027521491,0.0087191388010978,,,,
U-Net-v1_dem_32f_s42_10pct,11,0.0121505092829465,0.0086917029693722,,,,
U-Net-v1_dem_32f_s42_10pct,12,0.0121278138831257,0.0088213765993714,,,,
U-Net-v1_dem_32f_s42_10pct,13,0.01211210899055,0.0088124955072999,,,,
U-Net-v1_dem_32f_s42_10pct,14,0.012097637169063,0.0087064122781157,,,,
U-Net-v1_wac_32f_s42_10pct,0,0.0149638317525386,0.0099388509988784,,,,
U-Net-v1_wac_32f_s42_10pct,1,0.0125363236293196,0.0091391531750559,,,,
U-Net-v1_wac_32f_s42_10pct,2,0.0120971975848078,0.0087745422497391,,,,
U-Net-v1_wac_32f_s42_10pct,3,0.0118733020499348,0.0085596106946468,,,,
U-Net-v1_wac_32f_s42_10pct,4,0.0117317512631416,0.0084657222032547,,,,
U-Net-v1_wac_32f_s42_10pct,5,0.0116385892033576,0.0084623917937278,,,,
U-Net-v1_wac_32f_s42_10pct,6,0.0115729635581374,0.0086272237822413,,,,
U-Net-v1_wac_32f_s42_10pct,7,0.0115166986361145,0.0083028487861156,,,,
U-Net-v1_wac_32f_s42_10pct,8,0.0114829102531075,0.0083790430799126,,,,
U-Net-v1_wac_32f_s42_10pct,9,0.0114436242729425,0.0084004839882254,,,,
U-Net-v1_wac_32f_s42_10pct,10,0.0114186340942978,0.0082227094098925,,,,
U-Net-v1_wac_32f_s42_10pct,11,0.0113935014232993,0.0084432940930128,,,,
U-Net-v1_wac_32f_s42_10pct,12,0.0113711142912507,0.0082007721066474,,,,
U-Net-v1_wac_32f_s42_10pct,13,0.0113517325371503,0.0082572484388947,,,,
U-Net-v1_wac_32f_s42_10pct,14,0.0113356159999966,0.0085734594613313,,,,
model_v2A,0,0.0155796548351645,0.0101273087784647,0.0699618980288505,0.3629816770553589,0.0559145733714103,0.3665158450603485
model_v2A,1,0.0132437264546751,0.0093780998140573,0.0820335298776626,0.3887690901756286,0.062198095023632,0.3844153583049774
model_v2A,2,0.0125894118100404,0.0089994017034769,0.0853627249598503,0.3946949541568756,0.061542373150587,0.3856624066829681
model_v2A,3,0.0122199831530451,0.0087323747575283,0.08717080950737,0.3977044522762298,0.0633199885487556,0.3850454986095428
model_v2A,4,0.0119701698422431,0.0087543493136763,0.0885180607438087,0.3997769653797149,0.0658522173762321,0.3627506792545318
model_v2A,5,0.0118062775582075,0.008462581783533,0.0894037559628486,0.4011980593204498,0.0646442472934722,0.3854143619537353
model_v2A,6,0.0116777131333947,0.0084038348868489,0.0901217982172966,0.4022558331489563,0.065566748380661,0.3837842047214508
model_v2A,7,0.0115786865353584,0.0082672256976366,0.090759240090847,0.4030674993991852,0.0654387176036834,0.3906529545783996
model_v2A,8,0.0115059949457645,0.0082095712423324,0.0911838486790657,0.4037241041660309,0.0677707120776176,0.3983246088027954
model_v2A,9,0.011437858454883,0.0081585617735981,0.091703400015831,0.404454618692398,0.0674598589539527,0.3850043416023254
model_v2B,0,0.0172527413815259,0.0103188306093215,0.0654571577906608,0.354135125875473,0.0570956617593765,0.3703126013278961
model_v2B,1,0.0134254833683371,0.0095606120303273,0.0819020941853523,0.3871446251869201,0.06212754920125,0.3841008841991424
model_v2B,2,0.0126095144078135,0.0090346783399581,0.0865174904465675,0.3951307833194732,0.0608726218342781,0.3943485915660858
model_v2B,3,0.0121884923428297,0.0087182708084583,0.08879254758358,0.3989100158214569,0.0705467239022255,0.3815769255161285
model_v2B,4,0.0119174858555197,0.0087367920204997,0.0903618261218071,0.4012959897518158,0.0696184635162353,0.3681203424930572
model_v2B,5,0.0117436256259679,0.00838029012084,0.0913795232772827,0.4029324948787689,0.0689842030405998,0.3867063820362091
model_v2B,6,0.0116050885990262,0.008351532742381,0.0922378003597259,0.404195487499237,0.0669812634587287,0.3860717415809631
model_v2B,7,0.0114979725331068,0.0081812478601932,0.0930071771144867,0.4051513671875,0.0689690187573432,0.3912080824375152
model_v2B,8,0.0114213516935706,0.0080888979136943,0.0934958755970001,0.4058897495269775,0.0716915279626846,0.3924089074134826
model_v2B,9,0.0113490335643291,0.0081127099692821,0.0940798446536064,0.4066867232322693,0.070627249777317,0.380295991897583
model_v2C,0,0.0165982544422149,0.0101906890049576,0.0719262212514877,0.366618663072586,0.0598214454948902,0.3864429593086242
model_v2C,1,0.0131953274831175,0.0095571065321564,0.085280604660511,0.3930300176143646,0.0655768066644668,0.3923575580120086
model_v2C,2,0.0124989096075296,0.008948165923357,0.0884060859680175,0.3983075022697449,0.0666655749082565,0.3732633590698242
