epoch,loss,val_loss
0,0.015300802886486053,0.009958654642105103
1,0.013073735870420933,0.009355349466204643
2,0.012684209272265434,0.00919112004339695
3,0.012511497363448143,0.009064762853085995
4,0.012408804148435593,0.008972830139100552
5,0.012346805073320866,0.008919615298509598
6,0.012300612404942513,0.008839791640639305
7,0.012257585301995277,0.009004881605505943
8,0.012223529629409313,0.008789408951997757
9,0.012195214629173279,0.008925863541662693
10,0.012170021422207355,0.00870270375162363
11,0.012143711559474468,0.008670033887028694
