epoch,loss,val_loss
0,0.014405230060219765,0.009248235262930393
1,0.012173687107861042,0.008554911240935326
2,0.011758828535676003,0.008344699628651142
3,0.011550405994057655,0.00818777084350586
4,0.011415070854127407,0.008152791298925877
5,0.011328521184623241,0.00805194303393364
6,0.011263458989560604,0.008207413367927074
7,0.011210095137357712,0.007986791431903839
8,0.011171097867190838,0.008151059038937092
9,0.01113893836736679,0.00796447042375803
10,0.011112576350569725,0.007932891137897968
11,0.011086390353739262,0.008028925396502018
12,0.011065193451941013,0.007902361452579498
13,0.011047682724893093,0.00794188305735588
14,0.011030581779778004,0.008110299706459045
