threshold,precision,recall,f1,pixel_precision,pixel_recall
0.05,0.044,0.005939524838012959,0.010466222645099905,0.019518518174346317,0.9994077658599797
0.1,0.2197922361946419,0.10853131749460043,0.1453099584312308,0.029746473241542944,0.9911316733904645
0.15,0.3354794984750932,0.26727861771058314,0.29752066115702475,0.043534970680562474,0.9679181198337695
0.2,0.4230667020993888,0.4298056155507559,0.42640953528860315,0.06150796854020864,0.9256822081728311
0.25,0.516971916971917,0.5715442764578834,0.5428901141171946,0.08472389625463149,0.8646162879573996
0.3,0.6179154658981748,0.6946544276457883,0.654041687849517,0.11364985554661425,0.7849380178885081
0.35,0.7178423236514523,0.7473002159827213,0.7322751322751324,0.15021045844968048,0.6804669032228673
0.4,0.8120743034055727,0.7081533477321814,0.7565618690510528,0.1929850377603414,0.5576264065560825
0.45,0.8963389551624846,0.5882829373650108,0.7103504482477587,0.2457252259151478,0.40604483769241284
0.5,0.9636723910171731,0.3938984881209503,0.5592180912226906,0.3056772286980791,0.23561301295322362
0.6,0.0,0.0,0.0,0.42868400315208827,0.0027536356595817915
0.7,0.0,0.0,0.0,0.0,0.0
