patch_idx,tp,detected,truth,tp_small,truth_small,unmatched,recall,recall_small,precision,new_crater_pct
490600,0,6,5,0,5,6,0.0,0.0,0.0,0.5454545454545454
490616,0,8,3,0,3,8,0.0,0.0,0.0,0.7272727272727273
490951,2,15,21,2,21,13,0.09523809523809523,0.09523809523809523,0.13333333333333333,0.38235294117647056
491058,4,22,29,4,29,18,0.13793103448275862,0.13793103448275862,0.18181818181818182,0.3829787234042553
491082,1,17,14,1,13,16,0.07142857142857142,0.07692307692307693,0.058823529411764705,0.5333333333333333
491084,1,14,14,0,12,13,0.07142857142857142,0.0,0.07142857142857142,0.48148148148148145
491093,0,7,6,0,5,7,0.0,0.0,0.0,0.5384615384615384
491131,0,14,15,0,15,14,0.0,0.0,0.0,0.4827586206896552
491205,4,35,36,3,33,31,0.1111111111111111,0.09090909090909091,0.11428571428571428,0.4626865671641791
491301,6,42,52,6,51,36,0.11538461538461539,0.11764705882352941,0.14285714285714285,0.4090909090909091
491320,1,24,55,1,53,23,0.01818181818181818,0.018867924528301886,0.041666666666666664,0.2948717948717949
491335,5,31,49,5,46,26,0.10204081632653061,0.10869565217391304,0.16129032258064516,0.3466666666666667
491340,3,26,42,2,38,23,0.07142857142857142,0.05263157894736842,0.11538461538461539,0.35384615384615387
491410,1,12,18,1,18,11,0.05555555555555555,0.05555555555555555,0.08333333333333333,0.3793103448275862
491462,1,9,7,1,7,8,0.14285714285714285,0.14285714285714285,0.1111111111111111,0.5333333333333333
491475,0,8,2,0,2,8,0.0,0.0,0.0,0.8
491479,0,7,4,0,4,7,0.0,0.0,0.0,0.6363636363636364
491570,1,8,3,1,3,7,0.3333333333333333,0.3333333333333333,0.125,0.7
492565,0,18,6,0,5,18,0.0,0.0,0.0,0.75
492624,3,22,23,3,23,19,0.13043478260869565,0.13043478260869565,0.13636363636363635,0.4523809523809524
492637,5,14,41,5,38,9,0.12195121951219512,0.13157894736842105,0.35714285714285715,0.18
492762,7,34,44,7,44,27,0.1590909090909091,0.1590909090909091,0.20588235294117646,0.38028169014084506
