threshold,precision,recall,f1
0.05,0.045,0.002425876010781671,0.004603580562659846
0.1,0.05465116279069768,0.012668463611859838,0.020568927789934355
0.15,0.10920177383592018,0.05309973045822102,0.0714544795067102
0.2,0.1721976401179941,0.12587601078167115,0.145437558393024
0.25,0.24428659666460778,0.21320754716981133,0.22769142199194015
0.3,0.31297046902142445,0.29137466307277626,0.30178671133445
0.35,0.3616557734204793,0.3132075471698113,0.3356926188068756
0.4,0.40414312617702447,0.2892183288409704,0.33715632364493325
0.45,0.449944382647386,0.21805929919137465,0.2937545388525781
0.5,0.4717948717948718,0.024797843665768194,0.04711907810499359
0.6,0.0,0.0,0.0
0.7,0.0,0.0,0.0
