patch_idx,tp,detected,truth,tp_small,truth_small,unmatched,recall,recall_small,precision,new_crater_pct
488955,3,30,23,3,23,27,0.13043478260869565,0.13043478260869565,0.1,0.54
489003,4,30,17,4,16,26,0.23529411764705882,0.25,0.13333333333333333,0.6046511627906976
489039,0,4,10,0,9,4,0.0,0.0,0.0,0.2857142857142857
489074,2,21,25,2,25,19,0.08,0.08,0.09523809523809523,0.4318181818181818
489110,2,24,18,2,18,22,0.1111111111111111,0.1111111111111111,0.08333333333333333,0.55
489120,1,28,26,1,26,27,0.038461538461538464,0.038461538461538464,0.03571428571428571,0.5094339622641509
489143,5,25,20,5,20,20,0.25,0.25,0.2,0.5
489240,0,20,19,0,19,20,0.0,0.0,0.0,0.5128205128205128
489276,0,6,12,0,11,6,0.0,0.0,0.0,0.3333333333333333
489342,2,26,37,2,36,24,0.05405405405405406,0.05555555555555555,0.07692307692307693,0.39344262295081966
489586,4,24,26,4,26,20,0.15384615384615385,0.15384615384615385,0.16666666666666666,0.43478260869565216
489656,0,5,6,0,6,5,0.0,0.0,0.0,0.45454545454545453
489694,4,12,19,4,19,8,0.21052631578947367,0.21052631578947367,0.3333333333333333,0.2962962962962963
489764,0,13,18,0,17,13,0.0,0.0,0.0,0.41935483870967744
489772,1,11,20,0,19,10,0.05,0.0,0.09090909090909091,0.3333333333333333
489779,0,7,5,0,4,7,0.0,0.0,0.0,0.5833333333333334
490575,0,6,3,0,3,6,0.0,0.0,0.0,0.6666666666666666
490591,0,11,9,0,9,11,0.0,0.0,0.0,0.55
490600,0,5,5,0,5,5,0.0,0.0,0.0,0.5
490616,0,6,3,0,3,6,0.0,0.0,0.0,0.6666666666666666
490951,1,25,21,1,21,24,0.047619047619047616,0.047619047619047616,0.04,0.5333333333333333
491058,6,34,29,6,29,28,0.20689655172413793,0.20689655172413793,0.17647058823529413,0.49122807017543857
491082,1,14,14,1,13,13,0.07142857142857142,0.07692307692307693,0.07142857142857142,0.48148148148148145
491084,0,16,14,0,12,16,0.0,0.0,0.0,0.5333333333333333
491093,0,14,6,0,5,14,0.0,0.0,0.0,0.7
491131,0,18,15,0,15,18,0.0,0.0,0.0,0.5454545454545454
491205,6,39,36,5,33,33,0.16666666666666666,0.15151515151515152,0.15384615384615385,0.4782608695652174
491301,8,38,52,8,51,30,0.15384615384615385,0.1568627450980392,0.21052631578947367,0.36585365853658536
491320,4,22,55,4,53,18,0.07272727272727272,0.07547169811320754,0.18181818181818182,0.2465753424657534
491335,4,22,49,4,46,18,0.08163265306122448,0.08695652173913043,0.18181818181818182,0.26865671641791045
491340,3,23,42,2,38,20,0.07142857142857142,0.05263157894736842,0.13043478260869565,0.3225806451612903
491410,2,14,18,2,18,12,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.4
491462,1,12,7,1,7,11,0.14285714285714285,0.14285714285714285,0.08333333333333333,0.6111111111111112
491475,0,8,2,0,2,8,0.0,0.0,0.0,0.8
