threshold,precision,recall,f1
0.01,0.7830497382198953,0.6450134770889487,0.7073603310671002
0.02,0.785831960461285,0.6428571428571429,0.7071905114899927
0.03,0.7867501647989453,0.6433962264150943,0.7078884934756821
0.04,0.7870584351271046,0.6425876010781671,0.707523371420092
0.05,0.7879589811445584,0.6420485175202156,0.7075597801871378
0.1,0.78957849319615,0.6412398921832884,0.7077197679607318
0.15,0.791084497671324,0.6409703504043127,0.7081596188207266
0.2,0.7914723517654897,0.6404312668463612,0.7079856972586412
0.25,0.7920427950518222,0.638544474393531,0.7070586479629906
0.3,0.7944929482874412,0.6377358490566037,0.7075358851674641
0.35,0.7954927682475614,0.637466307277628,0.707765973365255
0.4,0.7962962962962963,0.637466307277628,0.7080838323353292
0.45,0.7967644084934277,0.6371967654986523,0.708102441216115
0.5,0.7971650354370571,0.6366576819407008,0.7079274689045408
0.55,0.7971554351506942,0.6345013477088949,0.7065886237430588
0.6,0.7976995940460081,0.6355795148247978,0.7074707470747074
0.65,0.7974298275278999,0.6355795148247978,0.7073646317684116
0.7,0.7986440677966101,0.6350404312668464,0.7075075075075076
0.75,0.7992527173913043,0.6342318059299191,0.7072437631499849
0.8,0.8010204081632653,0.6347708894878706,0.7082706766917293
0.85,0.801909307875895,0.6339622641509434,0.7081138040042149
0.9,0.8041766518315645,0.6331536388140162,0.7084904237671543
